# File: A23.india_state_tech_OMvar.csv
# Title: Electricity technology variable operations and maintenance costs
# Units: 1975$/MWh
# Column types: ccccnci
# ----------
region,supplysector,subsector,technology,year,input.OM.var,OM.var
TS,electricity,refined liquids,refined liquids (steam/CT),2070,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2075,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2080,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2085,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2090,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2095,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2100,OM-var,10
TS,electricity,wind,wind_storage,1975,OM-var,0
TS,electricity,wind,wind_storage,1990,OM-var,0
TS,electricity,wind,wind_storage,2005,OM-var,0
TS,electricity,wind,wind_storage,2010,OM-var,0
TS,electricity,wind,wind_storage,2015,OM-var,0
TS,electricity,wind,wind_storage,2020,OM-var,0
TS,electricity,wind,wind_storage,2025,OM-var,0
TS,electricity,wind,wind_storage,2030,OM-var,0
TS,electricity,wind,wind_storage,2035,OM-var,0
TS,electricity,wind,wind_storage,2040,OM-var,0
TS,electricity,wind,wind_storage,2045,OM-var,0
TS,electricity,wind,wind_storage,2050,OM-var,0
TS,electricity,wind,wind_storage,2055,OM-var,0
TS,electricity,wind,wind_storage,2060,OM-var,0
TS,electricity,wind,wind_storage,2065,OM-var,0
TS,electricity,wind,wind_storage,2070,OM-var,0
TS,electricity,wind,wind_storage,2075,OM-var,0
TS,electricity,wind,wind_storage,2080,OM-var,0
TS,electricity,wind,wind_storage,2085,OM-var,0
TS,electricity,wind,wind_storage,2090,OM-var,0
TS,electricity,wind,wind_storage,2095,OM-var,0
TS,electricity,wind,wind_storage,2100,OM-var,0
UK,electricity,biomass,biomass (conv CCS),1975,OM-var,0
UK,electricity,biomass,biomass (conv CCS),1990,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2005,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2010,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2015,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2020,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2025,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2030,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2035,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2040,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2045,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2050,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2055,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2060,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2065,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2070,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2075,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2080,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2085,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2090,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2095,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2100,OM-var,0
UK,electricity,biomass,biomass (conv),1975,OM-var,0
UK,electricity,biomass,biomass (conv),1990,OM-var,0
UK,electricity,biomass,biomass (conv),2005,OM-var,0
UK,electricity,biomass,biomass (conv),2010,OM-var,0
UK,electricity,biomass,biomass (conv),2015,OM-var,0
UK,electricity,biomass,biomass (conv),2020,OM-var,0
UK,electricity,biomass,biomass (conv),2025,OM-var,0
UK,electricity,biomass,biomass (conv),2030,OM-var,0
UK,electricity,biomass,biomass (conv),2035,OM-var,0
UK,electricity,biomass,biomass (conv),2040,OM-var,0
UK,electricity,biomass,biomass (conv),2045,OM-var,0
UK,electricity,biomass,biomass (conv),2050,OM-var,0
UK,electricity,biomass,biomass (conv),2055,OM-var,0
UK,electricity,biomass,biomass (conv),2060,OM-var,0
UK,electricity,biomass,biomass (conv),2065,OM-var,0
UK,electricity,biomass,biomass (conv),2070,OM-var,0
UK,electricity,biomass,biomass (conv),2075,OM-var,0
UK,electricity,biomass,biomass (conv),2080,OM-var,0
UK,electricity,biomass,biomass (conv),2085,OM-var,0
UK,electricity,biomass,biomass (conv),2090,OM-var,0
UK,electricity,biomass,biomass (conv),2095,OM-var,0
UK,electricity,biomass,biomass (conv),2100,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),1975,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),1990,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2005,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2010,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2015,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2020,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2025,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2030,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2035,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2040,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2045,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2050,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2055,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2060,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2065,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2070,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2075,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2080,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2085,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2090,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2095,OM-var,0
UK,electricity,biomass,biomass (IGCC CCS),2100,OM-var,0
UK,electricity,biomass,biomass (IGCC),1975,OM-var,0
UK,electricity,biomass,biomass (IGCC),1990,OM-var,0
UK,electricity,biomass,biomass (IGCC),2005,OM-var,0
UK,electricity,biomass,biomass (IGCC),2010,OM-var,0
UK,electricity,biomass,biomass (IGCC),2015,OM-var,0
UK,electricity,biomass,biomass (IGCC),2020,OM-var,0
UK,electricity,biomass,biomass (IGCC),2025,OM-var,0
UK,electricity,biomass,biomass (IGCC),2030,OM-var,0
UK,electricity,biomass,biomass (IGCC),2035,OM-var,0
UK,electricity,biomass,biomass (IGCC),2040,OM-var,0
UK,electricity,biomass,biomass (IGCC),2045,OM-var,0
UK,electricity,biomass,biomass (IGCC),2050,OM-var,0
UK,electricity,biomass,biomass (IGCC),2055,OM-var,0
UK,electricity,biomass,biomass (IGCC),2060,OM-var,0
UK,electricity,biomass,biomass (IGCC),2065,OM-var,0
UK,electricity,biomass,biomass (IGCC),2070,OM-var,0
UK,electricity,biomass,biomass (IGCC),2075,OM-var,0
UK,electricity,biomass,biomass (IGCC),2080,OM-var,0
UK,electricity,biomass,biomass (IGCC),2085,OM-var,0
UK,electricity,biomass,biomass (IGCC),2090,OM-var,0
UK,electricity,biomass,biomass (IGCC),2095,OM-var,0
UK,electricity,biomass,biomass (IGCC),2100,OM-var,0
UK,electricity,coal,coal (conv pul CCS),1975,OM-var,0
UK,electricity,coal,coal (conv pul CCS),1990,OM-var,0
UK,electricity,coal,coal (conv pul CCS),2005,OM-var,0
UK,electricity,coal,coal (conv pul CCS),2010,OM-var,0
UK,electricity,coal,coal (conv pul CCS),2015,OM-var,0
UK,electricity,coal,coal (conv pul CCS),2020,OM-var,0
UK,electricity,coal,coal (conv pul CCS),2025,OM-var,0
UK,electricity,coal,coal (conv pul CCS),2030,OM-var,0
UK,electricity,coal,coal (conv pul CCS),2035,OM-var,0
UK,electricity,coal,coal (conv pul CCS),2040,OM-var,0
UK,electricity,coal,coal (conv pul CCS),2045,OM-var,0
